latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
65.95256,12.476944,14.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_0cm (°C)
2023-07-01T00:00,12.0,96,0.00,0.00,12.6,31,22.7,13.3
2023-07-01T01:00,12.0,96,0.00,0.00,16.2,30,29.2,13.3
2023-07-01T02:00,12.1,94,0.00,0.00,18.4,30,32.8,13.3
2023-07-01T03:00,12.3,92,0.00,0.00,14.4,24,29.2,13.4
2023-07-01T04:00,12.5,89,0.00,0.00,12.6,23,25.9,13.8
2023-07-01T05:00,12.7,84,0.00,0.00,12.6,26,23.8,14.6
2023-07-01T06:00,14.4,81,0.00,0.00,10.8,21,23.0,15.0
2023-07-01T07:00,16.3,76,0.00,0.00,10.4,25,21.6,16.0
2023-07-01T08:00,17.8,70,0.00,0.00,11.9,29,24.1,16.8
2023-07-01T09:00,20.3,68,0.00,0.00,12.6,22,25.6,17.8
2023-07-01T10:00,20.4,65,0.00,0.00,14.4,24,29.2,18.4
2023-07-01T11:00,20.7,63,0.00,0.00,16.9,32,33.5,18.0
2023-07-01T12:00,22.4,61,0.00,0.00,17.3,36,33.5,18.5
2023-07-01T13:00,22.9,60,0.00,0.00,17.6,42,34.2,18.7
2023-07-01T14:00,22.7,60,0.00,0.00,17.6,42,34.2,18.6
2023-07-01T15:00,21.9,59,0.00,0.00,17.6,41,33.8,18.5
2023-07-01T16:00,20.8,63,0.00,0.00,16.2,46,33.8,18.0
2023-07-01T17:00,20.9,66,0.00,0.00,14.8,48,30.6,17.5
2023-07-01T18:00,21.2,68,0.00,0.00,13.0,48,27.4,17.0
2023-07-01T19:00,20.5,71,0.00,0.00,11.2,43,23.4,16.4
2023-07-01T20:00,19.5,67,0.00,0.00,10.4,49,19.8,15.6
2023-07-01T21:00,20.1,65,0.00,0.00,6.8,71,18.7,14.9
2023-07-01T22:00,19.7,62,0.00,0.00,4.3,135,12.2,14.5
2023-07-01T23:00,18.7,61,0.00,0.00,6.8,111,12.2,14.2
2023-07-02T00:00,16.9,58,0.00,0.00,7.9,123,14.4,14.0
2023-07-02T01:00,17.5,59,0.00,0.00,9.4,135,17.3,13.8
2023-07-02T02:00,19.2,61,0.00,0.00,8.6,134,18.4,13.9
2023-07-02T03:00,16.7,61,0.00,0.00,7.9,117,18.7,14.4
2023-07-02T04:00,16.8,59,0.00,0.00,7.2,142,16.9,14.8
2023-07-02T05:00,17.6,58,0.00,0.00,10.8,139,22.0,15.2
2023-07-02T06:00,16.8,58,0.00,0.00,7.9,148,23.0,16.1
2023-07-02T07:00,16.5,58,0.00,0.00,2.2,138,16.2,16.0
2023-07-02T08:00,16.1,68,0.00,0.00,7.9,16,15.5,15.7
2023-07-02T09:00,17.8,69,0.00,0.00,6.1,336,13.0,15.9
2023-07-02T10:00,17.1,73,0.00,0.00,10.4,24,20.2,16.7
2023-07-02T11:00,17.1,66,0.00,0.00,10.8,27,23.8,16.2
2023-07-02T12:00,17.6,61,0.00,0.00,12.6,24,26.3,16.8
2023-07-02T13:00,18.4,64,0.00,0.00,14.8,43,31.3,17.4
2023-07-02T14:00,18.6,66,0.00,0.00,11.2,29,31.0,17.3
2023-07-02T15:00,17.3,60,0.00,0.00,5.8,30,18.7,17.2
2023-07-02T16:00,16.7,59,0.00,0.00,2.5,270,12.2,16.8
2023-07-02T17:00,17.0,60,0.00,0.00,7.2,203,17.3,16.5
2023-07-02T18:00,16.5,68,0.10,0.00,4.3,343,10.1,16.1
2023-07-02T19:00,16.2,70,0.00,0.00,4.3,59,10.8,15.6
2023-07-02T20:00,15.1,65,0.00,0.00,12.6,119,24.5,15.0
2023-07-02T21:00,13.8,66,0.00,0.00,16.2,117,31.7,14.3
2023-07-02T22:00,13.5,67,0.00,0.00,16.6,116,32.0,13.9
2023-07-02T23:00,13.4,68,0.00,0.00,16.6,120,32.4,13.7
2023-07-03T00:00,12.5,67,0.00,0.00,16.6,117,37.1,13.7
2023-07-03T01:00,11.6,68,0.00,0.00,17.3,113,33.8,13.6
2023-07-03T02:00,12.9,70,0.00,0.00,17.6,117,35.6,13.5
2023-07-03T03:00,12.3,70,0.30,0.00,19.4,119,39.2,13.6
2023-07-03T04:00,13.2,69,0.00,0.00,19.4,119,37.8,13.7
2023-07-03T05:00,12.8,68,0.00,0.00,19.1,120,38.5,13.8
2023-07-03T06:00,12.5,67,0.00,0.00,16.9,118,34.6,13.9
2023-07-03T07:00,14.3,66,0.00,0.00,17.6,117,35.6,14.8
2023-07-03T08:00,13.1,65,0.00,0.00,16.9,119,35.6,15.0
2023-07-03T09:00,13.6,66,0.90,0.00,16.9,119,33.5,15.3
2023-07-03T10:00,13.9,66,0.00,0.00,18.0,125,38.5,15.2
2023-07-03T11:00,12.3,84,1.10,0.00,12.6,148,37.4,15.6
2023-07-03T12:00,13.7,66,3.60,0.00,6.1,140,20.9,15.3
